序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,_is_main,_tier,_strength_pct
1,002421,达实智能,10.051546096801758,4.27,2229559552,8554420584.219999,9054883568.64,26.12929916381836,130102736,092500,100036,8,4/4,4,IT服务Ⅱ,True,Tier1_一字板/开盘封,1.5208830886804345
2,002272,川润股份,10.013233184814453,24.94,1505371968,10178839464.12,12092839762.24,14.88798713684082,130332075,092500,095112,2,3/3,3,通用设备,True,Tier1_一字板/开盘封,1.2804217559321505
3,000809,和展能源,10.075567245483398,4.37,76006973,3604337950.4100003,3604337963.52,2.1087636947631836,77009451,092500,092500,0,1/1,1,风电设备,True,Tier1_一字板/开盘封,2.136576870968496
6,603779,威龙股份,10.0,13.2,67347852,4383492352.8,4383492326.4,1.5363972187042236,551150028,092501,092501,0,9/7,6,非白酒,True,Tier1_一字板/开盘封,12.573308760261606
7,600604,市北高新,9.979633331298828,5.4,110704153,7600255941.6,10115845920.0,1.4565845727920532,96759527,092504,092504,0,1/1,1,房地产开,True,Tier1_一字板/开盘封,1.273108797170721
8,000880,潍柴重机,10.0,35.42,701889440,8041289256.0,16429526196.16,8.752415657043457,213799760,093003,093003,0,1/1,1,汽车零部,True,Tier2_9:30-10:00,2.658774646621169
9,002796,世嘉科技,9.997934341430664,53.25,715941728,12125461809.75,13438539981.0,5.9384446144104,46670323,093030,093215,1,1/1,1,通信设备,True,Tier2_9:30-10:00,0.38489522075334665
10,000926,福星股份,10.144927024841309,2.28,203890071,3586916850.6,3631959671.0399995,5.755711078643799,47392944,093039,093527,1,1/1,1,房地产开,True,Tier2_9:30-10:00,1.3212724457795102
11,603938,三孚股份,10.006138801574707,53.76,419833808,20569892958.719997,20569892904.96,2.075835943222046,147954885,093108,093108,0,10/5,3,化学原料,True,Tier2_9:30-10:00,0.7192788280275367
12,000417,合百集团,10.046189308166504,9.53,923332400,7424131608.03,7432296502.24,12.55815315246582,282265258,093118,093118,0,3/3,3,一般零售,True,Tier2_9:30-10:00,3.8019969594113827
13,603316,诚邦股份,9.991119384765625,24.77,358398272,6545819280.0,6545819280.0,5.533083438873291,41557941,093118,093154,1,3/3,3,基础建设,True,Tier2_9:30-10:00,0.6348776100033119
14,002158,汉钟精机,10.015698432922363,35.04,307646960,18696181512.96,18736734005.76,1.6701072454452515,90171936,093239,093239,0,1/1,1,通用设备,True,Tier2_9:30-10:00,0.48230135088009146
15,002442,龙星科技,10.016420364379883,6.7,265014303,3300841316.1,3372042356.8,8.097368240356445,48032300,093242,094906,1,1/1,1,橡胶,True,Tier2_9:30-10:00,1.455153259434809
16,001269,欧晶科技,10.017969131469727,24.49,124567437,4712169610.61,4712169610.61,2.674525022506714,109146860,093336,093336,0,1/1,1,光伏设备,True,Tier2_9:30-10:00,2.316276132213983
17,600563,法拉电子,10.0,162.36,1240311728,36531000000.0,36531000000.0,3.4404964447021484,192179524,093344,093850,2,2/2,2,元件,True,Tier2_9:30-10:00,0.5260724425830118
18,000518,四环生物,10.0,3.41,226237869,3510716713.13,3510786723.84,6.620346546173096,28036638,093612,094751,2,1/1,1,生物制品,True,Tier2_9:30-10:00,0.798601547517167
19,002782,可立克,10.00362491607666,30.35,1276425936,14765311420.0,15052507885.6,8.788043022155762,45575077,093709,112633,2,6/4,2,其他电子,True,Tier2_9:30-10:00,0.3086631612677493
20,600611,大众交通,10.0,5.06,434130928,7910380801.839999,11962461691.839998,5.570704460144043,46230943,093856,093856,0,1/1,1,铁路公路,True,Tier2_9:30-10:00,0.5844338491169278
21,000716,黑芝麻,10.060362815856934,5.47,196862259,4040630673.39,4118275742.56,4.945888042449951,71290258,093903,093903,0,1/1,1,休闲食品,True,Tier2_9:30-10:00,1.7643349210183827
22,603005,晶方科技,10.014947891235352,36.8,2423521008,23999918780.8,23999919001.6,10.260985374450684,310363324,094344,094344,0,1/1,1,半导体,True,Tier2_9:30-10:00,1.2931848929767693
23,603618,杭电股份,9.997417449951172,42.58,2679443776,29438773729.28,29438773729.28,9.358060836791992,166158103,094507,095431,1,1/1,1,电网设备,True,Tier2_9:30-10:00,0.564419240176224
25,603687,大胜达,10.00621509552002,17.7,891426416,9735563992.8,9735564134.4,9.424199104309082,191430810,095514,095514,0,1/1,1,包装印刷,True,Tier2_9:30-10:00,1.966304264874371
27,603353,和顺石油,9.991708755493164,53.06,424992928,9042379080.0,9121332360.0,4.881831645965576,40279968,101354,102036,1,1/1,1,炼化及贸,True,Tier3_10:00-11:30,0.4454576350276171
28,603790,雅运股份,9.993155479431152,32.14,190968573,6150310400.0,6150310400.0,3.170537233352661,1850942,101527,101527,0,1/1,1,化学制品,True,Tier3_10:00-11:30,0.030095098940046996
29,600895,张江高科,10.005766868591309,38.15,2224425344,59082506332.5,59082506408.799995,3.9083123207092285,297090073,102328,102328,0,1/1,1,房地产开,True,Tier3_10:00-11:30,0.5028393198623959
31,000859,国风新材,10.031347274780273,10.53,936303504,9434093103.63,9434630144.16,10.30238151550293,89201704,102633,102633,0,1/1,1,塑料,True,Tier3_10:00-11:30,0.9455249489288742
32,603919,金徽酒,10.027100563049316,20.3,346172928,10297377939.1,10297378000.0,3.445180892944336,33683993,103417,103417,0,1/1,1,白酒Ⅱ,True,Tier3_10:00-11:30,0.3271123309177483
34,600530,交大昂立,10.029069900512695,7.57,353374144,5866144400.0,5866144400.0,6.362917423248291,14218178,103606,104321,1,9/5,1,食品加工,True,Tier3_10:00-11:30,0.24237688386941175
35,603090,宏盛股份,10.007651329040527,71.89,643794336,7189000000.0,7189000000.0,9.225899696350098,61214335,104831,105104,1,1/1,1,通用设备,True,Tier3_10:00-11:30,0.8515
36,002787,华源控股,9.992193222045898,28.18,506555872,7069238012.5199995,9445276362.56,7.458430767059326,59893772,105800,105800,0,1/1,1,包装印刷,True,Tier3_10:00-11:30,0.8472450905447648
