date,cash,market_value,total_value
2024-01-08,10000000.0,0.0,10000000.0
2024-01-09,10000000.0,0.0,10000000.0
2024-01-10,10000000.0,0.0,10000000.0
2024-01-11,10000000.0,0.0,10000000.0
2024-01-12,10000000.0,0.0,10000000.0
2024-01-15,10000000.0,0.0,10000000.0
2024-01-16,10000000.0,0.0,10000000.0
2024-01-17,10000000.0,0.0,10000000.0
2024-01-18,10000000.0,0.0,10000000.0
2024-01-19,9400000.0,569869.3393503701,9969869.33935037
2024-01-22,9920123.839009289,0.0,9920123.839009289
2024-01-23,9920123.839009289,0.0,9920123.839009289
2024-01-24,9920123.839009289,0.0,9920123.839009289
2024-01-25,9920123.839009289,0.0,9920123.839009289
2024-01-26,9920123.839009289,0.0,9920123.839009289
2024-01-29,9920123.839009289,0.0,9920123.839009289
2024-01-30,9920123.839009289,0.0,9920123.839009289
2024-01-31,9920123.839009289,0.0,9920123.839009289
2024-02-01,9920123.839009289,0.0,9920123.839009289
2024-02-02,9920123.839009289,0.0,9920123.839009289
2024-02-05,9920123.839009289,0.0,9920123.839009289
2024-02-06,9920123.839009289,0.0,9920123.839009289
2024-02-07,9920123.839009289,0.0,9920123.839009289
2024-02-08,9320123.839009289,597058.8474155874,9917182.686424876
2024-02-19,8720123.839009289,1235472.2798802902,9955596.11888958
2024-02-20,8720123.839009289,1216329.8856695555,9936453.724678844
2024-02-21,9315176.24766736,612875.2706458282,9928051.518313188
2024-02-22,8115176.247667359,1848402.0934575875,9963578.341124946
2024-02-23,8115176.247667359,1877413.24428666,9992589.49195402
2024-02-26,8115176.247667359,1890720.1243605227,10005896.372027881
2024-02-27,8739868.927122183,1300101.3986563087,10039970.325778492
2024-02-28,9959602.659089329,0.0,9959602.659089329
2024-02-29,9959602.659089329,0.0,9959602.659089329
2024-03-01,9959602.659089329,0.0,9959602.659089329
2024-03-04,9959602.659089329,0.0,9959602.659089329
2024-03-05,9359602.659089329,603522.7650382188,9963125.424127547
2024-03-06,8159602.659089329,1762178.965872234,9921781.624961562
2024-03-07,8705963.576337583,1171710.094940404,9877673.671277987
2024-03-08,9274977.256019259,585200.9189821839,9860178.175001442
2024-03-11,9274977.256019259,590774.2610677285,9865751.517086986
2024-03-12,9274977.256019259,585200.9189821839,9860178.175001442
2024-03-13,9274977.256019259,596347.6031532731,9871324.859172532
2024-03-14,9258320.394306261,590316.9612042992,9848637.35551056
2024-03-15,9258320.394306261,585715.3813285419,9844035.775634803
2024-03-18,9258320.394306261,591631.6983116585,9849952.09261792
2024-03-19,9258320.394306261,599520.1209558139,9857840.515262075
2024-03-20,9258320.394306261,606093.8064926101,9864414.200798871
2024-03-21,9258320.394306261,608723.2807073286,9867043.67501359
2024-03-22,9255868.409601036,584177.5151493057,9840045.924750343
2024-03-25,9801528.72594929,0.0,9801528.72594929
2024-03-26,9801528.72594929,0.0,9801528.72594929
2024-03-27,8601528.72594929,1137147.1069475855,9738675.832896875
2024-03-28,8001528.725949289,1827623.1619867915,9829151.887936082
2024-03-29,8578552.651317673,1363900.4945340715,9942453.145851744
2024-04-01,8578552.651317673,1409901.0790465088,9988453.730364181
2024-04-02,8031548.618371466,2018803.72477923,10050352.343150696
2024-04-03,9381858.717268893,600326.6795358605,9982185.396804754
2024-04-08,9348244.66580626,561624.4790807434,9909869.144887004
2024-04-09,8748244.66580626,1167916.4323419197,9916161.09814818
2024-04-10,9280282.827805778,574419.8815085558,9854702.709314333
2024-04-11,9849945.608846353,0.0,9849945.608846353
2024-04-12,9849945.608846353,0.0,9849945.608846353
2024-04-15,9849945.608846353,0.0,9849945.608846353
2024-04-16,9849945.608846353,0.0,9849945.608846353
2024-04-17,9849945.608846353,0.0,9849945.608846353
2024-04-18,9849945.608846353,0.0,9849945.608846353
2024-04-19,9849945.608846353,0.0,9849945.608846353
2024-04-22,9849945.608846353,0.0,9849945.608846353
2024-04-23,9849945.608846353,0.0,9849945.608846353
2024-04-24,8049945.608846353,1823236.8498522113,9873182.458698565
2024-04-25,8049945.608846353,1846340.9604445267,9896286.56929088
2024-04-26,8673482.165300768,1210116.0895337712,9883598.254834538
2024-04-29,8073482.165300768,1855243.8215183,9928725.986819068
2024-04-30,8073482.165300768,1899311.4466935848,9972793.611994352
2024-05-06,8073482.165300768,1917865.2057619053,9991347.371062674
2024-05-07,9383369.191874305,588681.264772778,9972050.456647083
2024-05-08,8783369.191874305,1157046.1202827783,9940415.312157083
2024-05-09,8783369.191874305,1154304.4062200228,9937673.598094327
2024-05-10,9332139.862425199,604977.5202693805,9937117.38269458
2024-05-13,9332139.862425199,589175.8686205534,9921315.731045753
2024-05-14,8732139.862425199,1189638.6312759835,9921778.493701182
2024-05-15,8732139.862425199,1187051.7305967757,9919191.593021974
2024-05-16,9941244.92131222,0.0,9941244.92131222
2024-05-17,9941244.92131222,0.0,9941244.92131222
2024-05-20,9341244.92131222,621887.6179859372,9963132.539298158
2024-05-21,9931599.840805707,0.0,9931599.840805707
2024-05-22,9931599.840805707,0.0,9931599.840805707
2024-05-23,9331599.840805707,584496.5104685943,9916096.351274302
