feature,importance
f_w_max_high_over_fc,409
f_w_gap_so_far,371
f_w_max_drawdown_from_fc,319
f_w_close_to_fc,263
f_w_vol_shrink,239
f_w_ret_5d_std,152
f_w_amp_mean,142
f_w_today_ret,141
f_w_close_to_fh,131
f_w_close_to_fo,122
f_w_today_amp,107
f_w_ma20,105
f_w_recent_vol_ratio,97
f_w_ma5,91
f_w_amp_5d_mean,86
f_mkt_ma10,85
f_w_open_vs_fc,83
f_w_ma10,77
f_mkt_ma60,75
f_w_today_vol_ratio,66
f_w_consol_days,61
f_w_ma_cohesion,59
f_mkt_ma20,58
f_mkt_vol_ma20,58
f_w_macd_hist,58
f_w_macd_hist_5d_mean,57
f_w_amp_convergence,54
f_mkt_slope_20,53
f_w_amp_5d_std,50
f_mkt_ret_20,49
f_w_amp_recent5,46
f_mkt_pos_60,45
f_w_macd_dea,44
f_w_vol_5d_cv,43
f_mkt_ma5,40
f_w_macd_dif,39
f_w_ma_cohesion_slope_5d,36
f_mkt_ret_10,33
f_mkt_close,33
f_w_rsi,31
f_w_ret_5d_mean,30
f_mkt_close_over_ma20,27
f_mkt_close_over_ma5,26
f_mkt_vol_ma5,22
f_mkt_ret_5,20
f_w_broke_stop,18
f_mkt_close_over_ma60,17
f_mkt_ret_1,16
f_mkt_dist_to_hi60,16
f_mkt_vol_ratio_5,14
f_mkt_vol_20,11
f_mkt_close_over_ma10,9
f_mkt_vol_ratio_20,9
f_mkt_vp_corr_5,8
f_mkt_volume,7
f_w_vol_shrink_streak,4
f_w_rsi_neutral,3
f_w_ma_bullish,1
f_mkt_ma_bullish,1
f_w_macd_golden_x,0
f_w_close_above_all_ma,0
f_w_macd_hist_up3,0
