date,stop_loss_price,first_open,first_close,first_date,second_date,days_to_second,gap_so_far,f_w_broke_stop,f_w_close_to_fc,f_w_close_to_fh,f_w_gap_so_far,code,score
2024-02-26,9.78,9.78,,2024-02-21,,-1,6,1.0,-0.025000000000000123,-0.025000000000000123,6.0,000001,0.4069324013920236
2024-02-26,9.78,9.78,,2024-02-21,,-1,5,1.0,-0.025000000000000123,-0.025000000000000123,6.0,000001,0.4069324013920236
2024-03-12,9.78,9.78,,2024-02-21,,-1,28,1.0,-0.02222222222222224,-0.02222222222222224,28.0,000001,0.12148718291873144
2024-05-08,6.77,6.77,,2024-04-29,,-1,8,1.0,-0.04761904761904755,-0.04761904761904755,8.0,000002,0.44117662884202363
2024-05-13,6.77,6.77,,2024-04-29,,-1,14,1.0,-0.018518518518518476,-0.018518518518518476,14.0,000002,0.4107536510667433
2024-05-17,6.77,6.77,,2024-04-29,,-1,21,1.0,0.19047619047619055,0.19047619047619055,22.0,000002,0.1157748443122905
2024-05-30,8.33,8.33,,2024-05-17,,-1,18,1.0,-0.08111111111111116,-0.08111111111111116,18.0,000002,0.2781470910811606
2024-06-03,8.33,8.33,,2024-05-17,,-1,21,1.0,-0.10111111111111112,-0.10111111111111112,22.0,000002,0.15995224705825986
2024-09-30,7.22,7.22,,2024-09-26,,-1,3,0.0,0.20895522388059723,0.20895522388059723,4.0,000002,0.1197280831120046
2024-10-16,7.22,7.22,,2024-09-26,,-1,18,0.0,0.24378109452736332,0.24378109452736332,18.0,000002,0.18878220262414355
2024-10-24,7.22,7.22,,2024-09-26,,-1,30,0.0,0.13432835820895525,0.13432835820895525,30.0,000002,0.030085787957303545
2024-03-01,12.5,12.5,13.56,2024-02-27,2024-03-06,3,3,1.0,-0.05678466076696175,-0.05678466076696175,3.0,000004,0.3290771652138231
2024-03-04,12.5,12.5,13.56,2024-02-27,2024-03-06,2,4,1.0,-0.03392330383480832,-0.03392330383480832,4.0,000004,0.46679624220353055
2024-03-11,12.37,12.37,13.86,2024-03-06,2024-03-14,3,3,0.0,-0.017316017316017333,-0.017316017316017333,3.0,000004,0.4837629944809591
2024-03-12,12.37,12.37,13.86,2024-03-06,2024-03-14,2,4,0.0,-0.015151515151515086,-0.015151515151515086,4.0,000004,0.48430500296208556
2024-04-01,13.6,13.6,,2024-03-14,,-1,12,0.0,-0.015121630506245917,-0.015121630506245917,12.0,000004,0.39289747245237133
