min_score,topk,sell_n,trailing_stop,take_profit,cooldown_after_stop,initial_cash,final_value,total_return,annual_return,sharpe_ratio,max_drawdown,num_trades,win_rate,num_sells,sell_avg_return,sell_median_return
0.68,3,2,0.04,0.0,5,10000000.0,18743673.679424576,0.8743673679424577,0.9449345537790756,1.5047255740891399,-0.38807694586318053,639,0.46226415094339623,318,0.007542121658166677,-0.007696977400632243
0.68,3,2,0.03,0.0,5,10000000.0,18719973.492142454,0.8719973492142454,0.942330742636754,1.4984997863512013,-0.3504663707216257,653,0.4492307692307692,325,0.006509841516274554,-0.009418159703002082
0.68,2,2,0.03,0.0,5,10000000.0,19886897.16453079,0.9886897164530792,1.0707601289535833,1.4224092369325492,-0.4076545426487309,504,0.44223107569721115,251,0.006368201680215596,-0.010810705139483567
0.68,2,5,0.04,0.0,5,10000000.0,17580962.19013082,0.7580962190130818,0.8174267369984072,1.2763530566825705,-0.37447644195127383,390,0.3917525773195876,194,0.007277954790967983,-0.022400856250756773
0.68,3,3,0.04,0.0,5,10000000.0,16635335.639090337,0.6635335639090336,0.7140892241069157,1.2721318581629903,-0.3149137426148606,569,0.4204946996466431,283,0.006716215369069105,-0.016396189582512988
0.68,3,5,0.03,0.0,5,10000000.0,14836529.668842848,0.48365296688428483,0.5184856835647136,1.0464668823950218,-0.3992134607032376,585,0.4020618556701031,291,0.0051100083838647855,-0.018766485354064444
0.68,3,3,0.03,0.0,5,10000000.0,14341945.661755815,0.4341945661755815,0.4649416015071981,0.9645800777957504,-0.4017953658296257,619,0.4090909090909091,308,0.004624720783180334,-0.016613277236978863
0.68,2,2,0.04,0.0,5,10000000.0,13948358.44295979,0.39483584429597895,0.4224088903583607,0.8588075038105044,-0.459334639191436,486,0.4380165289256198,242,0.0036635195566123765,-0.009832555065500292
0.68,3,5,0.04,0.0,5,10000000.0,13404320.47913465,0.34043204791346504,0.36373438561706206,0.8465354318945132,-0.3926066780618932,539,0.40298507462686567,268,0.00454127579107092,-0.02049791537398077
0.58,3,2,0.03,0.0,5,10000000.0,13586302.42052067,0.35863024205206706,0.38334582697603103,0.8126235710706452,-0.5090375339459363,1019,0.42913385826771655,508,0.002788527607113913,-0.012463849705678764
0.62,3,2,0.03,0.0,5,10000000.0,13500962.122415118,0.3500962122415119,0.3741471191202004,0.8036931580159851,-0.5090375339459363,1011,0.42857142857142855,504,0.002779781935107218,-0.012547413646367522
0.68,3,2,0.04,0.08,5,10000000.0,12811808.256992951,0.28118082569929514,0.29999132929917693,0.7708731357064141,-0.39779547562783,686,0.47076023391812866,342,0.0032604256387945446,-0.006930898868669433
0.68,2,3,0.04,0.0,5,10000000.0,13100448.79903021,0.3100448799030211,0.3310223891487065,0.7680855660422176,-0.34337764777235047,422,0.3952380952380952,210,0.00407500701043223,-0.021383491900294205
0.68,3,2,0.03,0.08,5,10000000.0,12639888.56546704,0.2639888565467039,0.28152812531024174,0.7412611283929483,-0.349454295332422,703,0.48,350,0.0032215330696605906,-0.006844796064258085
0.6,3,2,0.03,0.0,5,10000000.0,12507362.747570788,0.25073627475707894,0.26730566977007664,0.691042607817055,-0.5090375339459363,1017,0.4260355029585799,507,0.002303873439170509,-0.012647288159733816
0.58,2,2,0.03,0.0,5,10000000.0,11947949.081739035,0.19479490817390355,0.20736902966741577,0.640270817123345,-0.5994827063887354,684,0.40762463343108507,341,0.00219931985575036,-0.013541386422742274
0.6,2,2,0.03,0.0,5,10000000.0,11947949.081739035,0.19479490817390355,0.20736902966741577,0.640270817123345,-0.5994827063887354,684,0.40762463343108507,341,0.00219931985575036,-0.013541386422742274
0.62,2,2,0.03,0.0,5,10000000.0,11947949.081739035,0.19479490817390355,0.20736902966741577,0.640270817123345,-0.5994827063887354,684,0.40762463343108507,341,0.00219931985575036,-0.013541386422742274
0.68,2,5,0.03,0.0,5,10000000.0,11793143.95680072,0.17931439568007201,0.19081173500384674,0.5931033718187972,-0.5326387164842419,446,0.3783783783783784,222,0.00257112801921985,-0.020239244123209765
0.68,2,3,0.03,0.0,5,10000000.0,11596811.217910033,0.15968112179100324,0.16983122742296342,0.5655469479185306,-0.49414671338499516,466,0.38362068965517243,232,0.002394975333073835,-0.018743267547199016
