date,cash,market_value,total_value
2024-01-08,10000000.0,0.0,10000000.0
2024-01-09,10000000.0,0.0,10000000.0
2024-01-10,-4.656612873077393e-10,10104731.521541437,10104731.521541437
2024-01-11,-4.656612873077393e-10,10048611.133851608,10048611.133851608
2024-01-12,6548089.7182431985,3306542.0085985926,9854631.72684179
2024-01-15,6527464.578775762,3233435.613730164,9760900.192505926
2024-01-16,3263732.2893878813,6648300.012840967,9912032.302228848
2024-01-17,6345526.565102367,3412035.941015836,9757562.506118203
2024-01-18,6479605.833059514,3195749.67901898,9675355.512078494
2024-01-19,6363184.3286238555,3467801.573502646,9830985.902126502
2024-01-22,3181592.1643119277,6504488.352163106,9686080.516475033
2024-01-23,9.313225746154785e-10,10322628.199852562,10322628.199852563
2024-01-24,0.0,10682606.3962235,10682606.3962235
2024-01-25,0.0,11359676.81405975,11359676.81405975
2024-01-26,0.0,11006364.230372194,11006364.230372194
2024-01-29,7065756.386159362,3642541.858544694,10708298.244704057
2024-01-30,-9.313225746154785e-10,9962822.80368452,9962822.803684518
2024-01-31,-4.656612873077393e-10,9834987.786854632,9834987.786854632
2024-02-01,3213157.584196294,6421468.402672699,9634625.986868992
2024-02-02,0.0,9405361.904619403,9405361.904619403
2024-02-05,3059840.005796568,5573236.478447646,8633076.484244214
2024-02-06,8912912.115344027,0.0,8912912.115344027
2024-02-07,2970970.7051146757,6184140.356535321,9155111.061649997
2024-02-08,6208128.057168623,3133759.9995614598,9341888.056730084
2024-02-19,3129101.6227726433,6349906.635957981,9479008.258730624
2024-02-20,0.0,9528419.4506169,9528419.4506169
2024-02-21,3203472.662135142,6745967.684190154,9949440.346325297
2024-02-22,0.0,10331636.063539727,10331636.063539727
2024-02-23,-4.656612873077393e-10,10511615.228144057,10511615.228144057
2024-02-26,6664603.308324158,3872913.9664459703,10537517.27477013
2024-02-27,3559851.8947658283,7312300.72039895,10872152.61516478
2024-02-28,6900944.577085153,3125407.8409992154,10026352.418084368
2024-02-29,0.0,10528599.776031578,10528599.776031578
2024-03-01,0.0,10455527.90786984,10455527.90786984
2024-03-04,10577558.963122219,0.0,10577558.963122219
2024-03-05,0.0,10303872.400474854,10303872.400474854
2024-03-06,0.0,10199022.937743746,10199022.937743746
2024-03-07,3307739.797802765,6341281.4263439495,9649021.224146714
2024-03-08,0.0,9786944.961823909,9786944.961823909
2024-03-11,0.0,10201660.61714331,10201660.61714331
2024-03-12,0.0,10337281.513316864,10337281.513316864
2024-03-13,0.0,10300792.726874325,10300792.726874325
2024-03-14,-4.656612873077393e-10,10493858.664498484,10493858.664498484
2024-03-15,3406784.613778322,7280422.818413625,10687207.432191946
2024-03-18,0.0,11319770.265587037,11319770.265587037
2024-03-19,0.0,11391302.567802355,11391302.567802355
2024-03-20,3966636.310397126,8341087.9940813575,12307724.304478483
2024-03-21,4083507.592029257,8635579.066221934,12719086.65825119
2024-03-22,-4.656612873077393e-10,11851136.416083744,11851136.416083744
2024-03-25,-4.656612873077393e-10,12107061.635765232,12107061.635765232
2024-03-26,0.0,12147302.803918306,12147302.803918306
2024-03-27,4.656612873077393e-10,11725507.336448126,11725507.336448126
2024-03-28,0.0,12485408.214372715,12485408.214372715
2024-03-29,0.0,12779995.55458551,12779995.55458551
2024-04-01,0.0,12877416.539106261,12877416.539106261
2024-04-02,0.0,13308370.102534916,13308370.102534916
2024-04-03,0.0,12778509.90307149,12778509.90307149
2024-04-08,4.656612873077393e-10,12938456.998363063,12938456.998363063
2024-04-09,-4.656612873077393e-10,12662096.559886048,12662096.559886048
2024-04-10,4007704.149783299,7866565.6462437045,11874269.796027003
2024-04-11,4.656612873077393e-10,11656639.236398717,11656639.236398717
2024-04-12,9.313225746154785e-10,10942361.850101039,10942361.850101039
2024-04-15,0.0,10273383.599752609,10273383.599752609
2024-04-16,0.0,9226723.230299328,9226723.230299328
2024-04-17,9.313225746154785e-10,10233231.065963127,10233231.065963127
2024-04-18,9.313225746154785e-10,10119869.982664423,10119869.982664425
2024-04-19,6810840.073763067,3626956.5584473656,10437796.632210433
2024-04-22,9.313225746154785e-10,10108838.321415307,10108838.321415309
2024-04-23,0.0,10062481.632889774,10062481.632889774
2024-04-24,4.656612873077393e-10,10260573.463080183,10260573.463080183
2024-04-25,4.656612873077393e-10,10396656.206557117,10396656.206557117
2024-04-26,3510245.288697352,6976744.302107005,10486989.590804357
2024-04-29,3373065.9453997966,7253788.681162104,10626854.6265619
2024-04-30,7045071.850771388,3575264.9383879956,10620336.789159384
2024-05-06,9.313225746154785e-10,10649813.318477906,10649813.318477906
2024-05-07,9.313225746154785e-10,11007579.730426503,11007579.730426505
2024-05-08,7169882.450658705,3452830.014425833,10622712.465084538
2024-05-09,3584941.2253293525,6918186.533227785,10503127.758557137
2024-05-10,7029743.864898404,3396078.1047166777,10425821.969615081
2024-05-13,3485117.6945230467,7329059.27920978,10814176.973732825
2024-05-14,4.656612873077393e-10,11161340.830935378,11161340.830935378
2024-05-15,-9.313225746154785e-10,10733575.318794813,10733575.318794813
2024-05-16,0.0,10478265.322472269,10478265.322472269
