feature,importance
f_w_max_high_over_fc,381
f_w_max_drawdown_from_fc,326
f_w_vol_shrink,232
f_w_gap_so_far,205
f_w_ret_5d_std,165
f_w_close_to_fc,152
f_w_amp_mean,147
f_w_today_amp,135
f_w_close_to_fh,124
f_w_today_ret,119
f_w_amp_5d_mean,118
f_w_recent_vol_ratio,112
f_w_ma5,105
f_w_ma20,102
f_w_ma10,95
f_w_close_to_fo,86
f_mkt_ma60,85
f_w_macd_dif,79
f_mkt_ma10,79
f_w_today_vol_ratio,78
f_w_open_vs_fc,70
f_w_consol_days,68
f_w_macd_hist,66
f_w_macd_dea,60
f_mkt_vol_ma20,59
f_w_ma_cohesion,58
f_w_rsi,54
f_w_amp_convergence,52
f_w_ma_cohesion_slope_5d,50
f_w_macd_hist_5d_mean,49
f_mkt_ma20,48
f_mkt_ret_20,42
f_w_vol_5d_cv,42
f_w_ret_5d_mean,40
f_mkt_slope_20,38
f_mkt_ma5,38
f_w_amp_recent5,38
f_w_amp_5d_std,36
f_mkt_ret_10,35
f_mkt_dist_to_hi60,32
f_mkt_close,30
f_mkt_pos_60,26
f_mkt_close_over_ma60,25
f_mkt_vol_ma5,24
f_mkt_vol_20,23
f_mkt_vp_corr_5,22
f_mkt_volume,18
f_mkt_close_over_ma20,17
f_mkt_ret_5,16
f_mkt_vol_ratio_5,14
f_mkt_close_over_ma10,13
f_mkt_close_over_ma5,13
f_w_broke_stop,12
f_mkt_ret_1,9
f_mkt_vol_ratio_20,7
f_w_macd_hist_up3,6
f_w_close_above_all_ma,2
f_mkt_ma_bullish,2
f_w_vol_shrink_streak,0
f_w_rsi_neutral,0
f_w_macd_golden_x,0
f_w_ma_bullish,0
